ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B09GTRVJQM,https://www.amazon.com/dp/B09GTRVJQM,https://www.amazon.ca/dp/B09GTRVJQM,49.99,89.89,39.9,79.82
B07ZQ2ZKLW,https://www.amazon.com/dp/B07ZQ2ZKLW,https://www.amazon.ca/dp/B07ZQ2ZKLW,8.9,15.99,7.09,79.66
B08CRPWQHB,https://www.amazon.com/dp/B08CRPWQHB,https://www.amazon.ca/dp/B08CRPWQHB,9.99,17.89,7.9,79.08
B06X421WJ6,https://www.amazon.com/dp/B06X421WJ6,https://www.amazon.ca/dp/B06X421WJ6,18.99,33.99,15.0,78.99
B09VK9RYNM,https://www.amazon.com/dp/B09VK9RYNM,https://www.amazon.ca/dp/B09VK9RYNM,13.99,24.99,11.0,78.63
B088WX8WPX,https://www.amazon.com/dp/B088WX8WPX,https://www.amazon.ca/dp/B088WX8WPX,12.99,22.99,10.0,76.98
B07N7KFHVH,https://www.amazon.com/dp/B07N7KFHVH,https://www.amazon.ca/dp/B07N7KFHVH,9.99,17.65,7.66,76.68
B091F22RTX,https://www.amazon.com/dp/B091F22RTX,https://www.amazon.ca/dp/B091F22RTX,31.91,56.37,24.46,76.65
B006LXOJC0,https://www.amazon.com/dp/B006LXOJC0,https://www.amazon.ca/dp/B006LXOJC0,48.05,83.98,35.93,74.78
B00S1TC442,https://www.amazon.com/dp/B00S1TC442,https://www.amazon.ca/dp/B00S1TC442,18.41,31.99,13.58,73.76
B074N9LRCP,https://www.amazon.com/dp/B074N9LRCP,https://www.amazon.ca/dp/B074N9LRCP,5.98,10.32,4.34,72.58
B007ZDEHM2,https://www.amazon.com/dp/B007ZDEHM2,https://www.amazon.ca/dp/B007ZDEHM2,8.69,14.97,6.28,72.27
B07G7BT8QV,https://www.amazon.com/dp/B07G7BT8QV,https://www.amazon.ca/dp/B07G7BT8QV,17.99,30.99,13.0,72.26
B06ZYLPDYV,https://www.amazon.com/dp/B06ZYLPDYV,https://www.amazon.ca/dp/B06ZYLPDYV,9.8,16.8,7.0,71.43
B00004SPEU,https://www.amazon.com/dp/B00004SPEU,https://www.amazon.ca/dp/B00004SPEU,18.95,32.42,13.47,71.08
B07VN49QF5,https://www.amazon.com/dp/B07VN49QF5,https://www.amazon.ca/dp/B07VN49QF5,23.99,40.99,17.0,70.86
B083DN8KNB,https://www.amazon.com/dp/B083DN8KNB,https://www.amazon.ca/dp/B083DN8KNB,4.99,8.49,3.5,70.14
B01BY9RTNQ,https://www.amazon.com/dp/B01BY9RTNQ,https://www.amazon.ca/dp/B01BY9RTNQ,9.99,16.99,7.0,70.07
B072N94M7L,https://www.amazon.com/dp/B072N94M7L,https://www.amazon.ca/dp/B072N94M7L,9.99,16.99,7.0,70.07
B078YZ586K,https://www.amazon.com/dp/B078YZ586K,https://www.amazon.ca/dp/B078YZ586K,99.99,169.94,69.95,69.96
B01KA5XE7U,https://www.amazon.com/dp/B01KA5XE7U,https://www.amazon.ca/dp/B01KA5XE7U,7.65,12.99,5.34,69.8
B08FWNCNH9,https://www.amazon.com/dp/B08FWNCNH9,https://www.amazon.ca/dp/B08FWNCNH9,12.99,21.99,9.0,69.28
B01M9I779L,https://www.amazon.com/dp/B01M9I779L,https://www.amazon.ca/dp/B01M9I779L,9.99,16.88,6.89,68.97
B0B92GJJTZ,https://www.amazon.com/dp/B0B92GJJTZ,https://www.amazon.ca/dp/B0B92GJJTZ,13.66,22.99,9.33,68.3
B08BR11PCH,https://www.amazon.com/dp/B08BR11PCH,https://www.amazon.ca/dp/B08BR11PCH,7.65,12.87,5.22,68.24
B00PHH3HVK,https://www.amazon.com/dp/B00PHH3HVK,https://www.amazon.ca/dp/B00PHH3HVK,10.77,18.0,7.23,67.13
B01MUTSU13,https://www.amazon.com/dp/B01MUTSU13,https://www.amazon.ca/dp/B01MUTSU13,40.68,67.98,27.3,67.11
B0931QGLRN,https://www.amazon.com/dp/B0931QGLRN,https://www.amazon.ca/dp/B0931QGLRN,5.99,9.99,4.0,66.78
B08MDYFTS1,https://www.amazon.com/dp/B08MDYFTS1,https://www.amazon.ca/dp/B08MDYFTS1,23.97,39.96,15.99,66.71
B00G1IBP9U,https://www.amazon.com/dp/B00G1IBP9U,https://www.amazon.ca/dp/B00G1IBP9U,8.49,14.11,5.62,66.2
B0C2C9NHZW,https://www.amazon.com/dp/B0C2C9NHZW,https://www.amazon.ca/dp/B0C2C9NHZW,29.99,49.74,19.75,65.86
B09QVC2YGY,https://www.amazon.com/dp/B09QVC2YGY,https://www.amazon.ca/dp/B09QVC2YGY,7.49,12.32,4.83,64.49
B0725GYNG6,https://www.amazon.com/dp/B0725GYNG6,https://www.amazon.ca/dp/B0725GYNG6,16.13,26.49,10.36,64.23
B082314NFL,https://www.amazon.com/dp/B082314NFL,https://www.amazon.ca/dp/B082314NFL,7.99,12.99,5.0,62.58
B01DNYOKHS,https://www.amazon.com/dp/B01DNYOKHS,https://www.amazon.ca/dp/B01DNYOKHS,7.99,12.99,5.0,62.58
B08G3DGBWV,https://www.amazon.com/dp/B08G3DGBWV,https://www.amazon.ca/dp/B08G3DGBWV,27.7,44.98,17.28,62.38
B08RD5G7MG,https://www.amazon.com/dp/B08RD5G7MG,https://www.amazon.ca/dp/B08RD5G7MG,17.99,28.99,11.0,61.15
B0093162RM,https://www.amazon.com/dp/B0093162RM,https://www.amazon.ca/dp/B0093162RM,89.95,144.95,55.0,61.15
B0C72QKVSV,https://www.amazon.com/dp/B0C72QKVSV,https://www.amazon.ca/dp/B0C72QKVSV,4.99,7.99,3.0,60.12
